Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
1/16/2020 18:45:40,uwaterloo.ca,Mechatronics Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Technology (i.e. Working with cloud based software)",I would rather work inside.,Programming apps.,I enjoy working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Breaking Bad,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/17/2019 13:37:03,gmail.com,Mechatronics Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Computer Science,Language Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Designing a water treatment system for Mars.,Grey’s Anatomy,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 12:13:28,edu.uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,Health (i.e. Creating technology for minimally invasive surgeries),I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Computer Science,History,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Planet Earth,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/7/2020 17:03:38,edu.uwaterloo.ca,Management Engineering,4th year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Math,Geography,I can code but it's not my favourite thing to do.,Hacker club (i.e. UW Hacks),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Myth Busters,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 11:52:31,edu.uwaterloo.ca,Mechanical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I enjoy working with others.,Physics,Visual Arts,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Big Bang Theory,Applied Science,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 19:21:21,uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Physics,Geography,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Creating a battery from recycled material.,Optimizing the Uber Pool routes.,Big Bang Theory,Applied Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 18:58:07,uwaterloo.ca,Software Engineering,3rd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Programming apps.,I enjoy working with others.,Chemistry,Physics,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Programming a robot that can make you dinner.,Myth Busters,Psychology,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/11/2019 17:28:39,uwaterloo.ca,Systems Design Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Optimizing processes.,I enjoy working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Business club (i.e. UW Finance Association),Art or design club (i.e. Fashion for Change),Programming a robot that can make you dinner.,Designing an Olympic village.,Silicon Valley,Math,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 22:49:25,edu.uwaterloo.ca,Biomedical Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I would rather work inside.,Designing or building sensor based technology.,I enjoy working with others.,Math,Physics,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Creating a battery from recycled material.,Planet Earth,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/15/2020 13:53:14,edu.uwaterloo.ca,Mechatronics Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am very creative.,Technology (i.e. Working with cloud based software),I would rather work inside.,Programming apps.,I occasionally like working with others.,Language Arts,Geography,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Creating a battery from recycled material.,Planet Earth,Visual Arts,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 11:44:42,edu.uwaterloo.ca,Chemical Engineering,4th year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Math,Biology,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Hacker club (i.e. UW Hacks),Designing a water treatment system for Mars.,Prototyping a musical instrument for children with a disability.,Planet Earth,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/11/2019 18:16:44,uwaterloo.ca,Nanotechnology Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I would rather work inside.,Designing or building sensor based technology.,I occasionally like working with others.,Biology,Geography,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Autoshop club (i.e. Autonomoose Autonomous Car Club),Creating a battery from recycled material.,Prototyping a musical instrument for children with a disability.,Myth Busters,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/12/2019 15:59:13,uwaterloo.ca,Mechatronics Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Computer Science,Biology,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Silicon Valley,Computer Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
12/11/2019 10:12:26,uwaterloo.ca,Management Engineering,2nd year,Other,Yes,Problems that are well defined.,I am very creative.,"Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Improving the way we use the world's resources.,I occasionally like working with others.,Geography,Chemistry,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Optimizing the Uber Pool routes.,Building the world’s most powerful supercomputer.,Myth Busters,Geography,That scares me and I don't want to touch it.,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 11:59:17,uwaterloo.ca,Management Engineering,2nd year,Other,Yes,Problems that require some investigation.,I am very creative.,"Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Geography,Physics,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Designing an Olympic village.,Programming a robot that can make you dinner.,Myth Busters,Geography,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 11:25:39,uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes)","Working outside would be okay, but only for short periods of time.",Building things with moving parts.,I occasionally like working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Student council (i.e. Engineering Society),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Math,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/25/2020 10:48:36,edu.uwaterloo.ca,Mechanical Engineering,Alumnus,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Construction (i.e. Building a smart city), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Physics,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Programming a robot that can make you dinner.,Grey’s Anatomy,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 19:09:14,uwaterloo.ca,Geological Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Biology,I can code but it's not my favourite thing to do.,Hacker club (i.e. UW Hacks),Student council (i.e. Engineering Society),Designing an Olympic village.,Programming a robot that can make you dinner.,House Hunters,Economics,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/10/2019 15:32:18,uwaterloo.ca,Mechanical Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Autoshop,Language Arts,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Art or design club (i.e. Fashion for Change),Prototyping a musical instrument for children with a disability.,Creating a battery from recycled material.,Myth Busters,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:02:46,uwaterloo.ca,Systems Design Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Computer Science,I don't code but I am interested in trying it.,Art or design club (i.e. Fashion for Change),Hacker club (i.e. UW Hacks),Programming a robot that can make you dinner.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/13/2019 18:04:15,edu.uwaterloo.ca,Management Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Physics,Biology,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Robotics club (i.e. UW Robotics Team),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Big Bang Theory,Business,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/10/2019 18:31:33,uwaterloo.ca,Management Engineering,3rd year,Female,No,Problems that are well defined.,I am somewhat creative.,Business (i.e. Starting your own consulting company),I love the outdoors and wish I could work outside every day.,Optimizing processes.,I enjoy working with others.,Math,History,I can code but it's not my favourite thing to do.,Hacker club (i.e. UW Hacks),Student council (i.e. Engineering Society),Designing an Olympic village.,Prototyping a musical instrument for children with a disability.,Grey’s Anatomy,Computer Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 11:45:36,uwaterloo.ca,Management Engineering,2nd year,Female,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Optimizing processes.,I occasionally like working with others.,Language Arts,Biology,I can code but it's not my favourite thing to do.,Consulting club (i.e. DECA),Robotics club (i.e. UW Robotics Team),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Big Bang Theory,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/18/2020 13:24:43,edu.uwaterloo.ca,Electrical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Environment club (i.e. UW Energy Network),Optimizing the Uber Pool routes.,Programming a robot that can make you dinner.,Myth Busters,Computer Science,That sounds cool!,I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:06:44,uwaterloo.ca,Nanotechnology Engineering,4th year,Male,Yes,Problems that require some investigation.,I am not creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I occasionally like working with others.,Chemistry,Biology,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Designing an Olympic village.,Silicon Valley,Computer Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
12/17/2019 10:06:51,edu.uwaterloo.ca,Electrical Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Programming apps.,I occasionally like working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Prototyping a musical instrument for children with a disability.,Big Bang Theory,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/19/2019 14:57:24,edu.uwaterloo.ca,Management Engineering,3rd year,Male,Yes,Problems that are well defined.,I am somewhat creative.,"Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Math,Chemistry,I don't code but I am interested in trying it.,Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Designing an Olympic village.,Planet Earth,Business,That sounds cool!,"I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:49:58,uwaterloo.ca,Mechatronics Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Math,History,I can code but it's not my favourite thing to do.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Consulting club (i.e. DECA),Programming a robot that can make you dinner.,Designing an Olympic village.,Big Bang Theory,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:09:54,uwaterloo.ca,Environmental Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Construction (i.e. Building a smart city), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Biology,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Consulting club (i.e. DECA),Designing a water treatment system for Mars.,Designing an Olympic village.,Big Bang Theory,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 13:08:01,edu.uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Computer Science,History,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Consulting club (i.e. DECA),Building the world’s most powerful supercomputer.,Optimizing the Uber Pool routes.,Myth Busters,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
12/25/2019 11:01:06,uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I enjoy working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Art or design club (i.e. Fashion for Change),Optimizing the Uber Pool routes.,Programming a robot that can make you dinner.,Grey’s Anatomy,Computer Science,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 17:36:26,uwaterloo.ca,Computer Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Computer Science,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Building the world’s most powerful supercomputer.,Prototyping a musical instrument for children with a disability.,Myth Busters,Environmental Studies,That sounds cool!,I am not very good.,Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 11:37:45,edu.uwaterloo.ca,Biomedical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Biology,History,I don't code but I am interested in trying it.,Environment club (i.e. UW Energy Network),Business club (i.e. UW Finance Association),Optimizing the Uber Pool routes.,Creating a battery from recycled material.,Breaking Bad,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/10/2019 21:31:24,uwaterloo.ca,Biomedical Engineering,2nd year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Math,Autoshop,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Breaking Bad,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/12/2019 11:28:28,uwaterloo.ca,Chemical Engineering,4th year,Female,Yes,Problems that are well defined.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Math,Language Arts,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Hacker club (i.e. UW Hacks),Creating a battery from recycled material.,Optimizing the Uber Pool routes.,Big Bang Theory,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 22:08:37,uwaterloo.ca,Chemical Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Language Arts,I can code but it's not my favourite thing to do.,Environment club (i.e. UW Energy Network),Autoshop club (i.e. Autonomoose Autonomous Car Club),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Planet Earth,Environmental Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/10/2019 16:32:22,uwaterloo.ca,Computer Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)","Working outside would be okay, but only for short periods of time.",Making discoveries at the molecular level.,I enjoy working with others.,Biology,Language Arts,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Designing an Olympic village.,Planet Earth,Health Studies,That sounds cool!,"Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
1/16/2020 12:04:41,edu.uwaterloo.ca,Mechatronics Engineering,4th year,Male,Yes,Problems that are well defined.,I am somewhat creative.,Health (i.e. Creating technology for minimally invasive surgeries),I would rather work inside.,Designing or building sensor based technology.,I enjoy working with others.,Math,Chemistry,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Designing an Olympic village.,Big Bang Theory,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
12/13/2019 19:29:27,uwaterloo.ca,Mechatronics Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Physics,Biology,I don't code but I am interested in trying it.,Consulting club (i.e. DECA),Hacker club (i.e. UW Hacks),Designing an Olympic village.,Optimizing the Uber Pool routes.,Myth Busters,Marketing,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 17:45:49,uwaterloo.ca,Mechanical Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Optimizing processes.,I enjoy working with others.,History,Business,"I code, I enjoy it and I'm good at it.",Autoshop club (i.e. Autonomoose Autonomous Car Club),Student council (i.e. Engineering Society),Optimizing the Uber Pool routes.,Designing an Olympic village.,Planet Earth,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 23:18:30,edu.uwaterloo.ca,Mechanical Engineering,4th year,Female,Yes,Problems that require some investigation.,I am very creative.,"Construction (i.e. Building a smart city), Manufacturing (i.e. Optimization or automation of manufacturing processes)",I love the outdoors and wish I could work outside every day.,Building things with moving parts.,I occasionally like working with others.,Autoshop,Language Arts,I don’t code and I have no desire to learn.,Autoshop club (i.e. Autonomoose Autonomous Car Club),Hacker club (i.e. UW Hacks),Designing a water treatment system for Mars.,Programming a robot that can make you dinner.,Myth Busters,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
